City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
137,Port Lincoln,AU,2022-03-20 05:01:56,-34.7333,135.8667,71.26,64,82,10.25
138,Hovd,MN,2022-03-20 05:01:57,48.0056,91.6419,24.39,44,95,3.71
139,Kruisfontein,ZA,2022-03-20 05:01:57,-34.0033,24.7314,65.88,95,54,2.35
140,Rio Grande,BR,2022-03-20 05:01:57,-32.035,-52.0986,54.95,60,62,14.74
141,Moose Factory,CA,2022-03-20 05:01:58,51.2585,-80.6094,25.2,99,100,4.68
142,Port Augusta,AU,2022-03-20 05:01:58,-32.5,137.7667,88.48,39,85,14.05
143,Saint-Augustin,CA,2022-03-20 05:01:59,51.226,-58.6502,6.82,96,96,4.47
144,Springbok,ZA,2022-03-20 05:01:59,-29.6643,17.8865,65.55,75,1,10.85
145,La Orilla,MX,2022-03-20 05:01:59,17.9833,-102.2333,70.56,73,74,4.03
146,Wilson,US,2022-03-20 05:02:00,36.1501,-86.2833,43.54,81,40,0.0
147,North Bend,US,2022-03-20 05:02:00,43.4065,-124.2243,43.86,97,8,1.81
148,Beisfjord,NO,2022-03-20 05:02:00,68.3751,17.5988,44.65,96,88,6.85
149,Providencia,MX,2022-03-20 05:02:01,28.7167,-111.5833,64.2,23,4,6.8
150,Luan,CH,2022-03-20 05:02:01,46.3592,6.9759,32.63,78,26,6.51
151,Kashi,CN,2022-03-20 05:02:02,39.4547,75.9797,52.56,51,100,7.07
152,Salalah,OM,2022-03-20 04:58:46,17.0151,54.0924,81.81,16,1,10.13
153,Norman Wells,CA,2022-03-20 05:02:02,65.282,-126.8329,-1.25,97,100,8.19
154,Gamba,GA,2022-03-20 05:02:02,-2.65,10.0,77.58,87,80,5.14
155,Yumen,CN,2022-03-20 05:02:03,40.2833,97.2,41.79,29,100,19.84
156,Cap Malheureux,MU,2022-03-20 05:01:36,-19.9842,57.6142,84.47,82,42,1.99
157,Leningradskiy,RU,2022-03-20 05:02:03,69.3833,178.4167,-6.61,86,25,2.13
158,Nizhnekamsk,RU,2022-03-20 05:02:04,55.6366,51.8245,20.19,73,0,11.18
159,Paramonga,PE,2022-03-20 05:02:04,-10.6667,-77.8333,70.03,82,100,6.46
160,Pomabamba,PE,2022-03-20 05:02:05,-8.8333,-77.4667,50.29,92,100,2.91
161,Haines Junction,CA,2022-03-20 05:02:05,60.7522,-137.5108,8.96,97,17,3.22
162,Beringovskiy,RU,2022-03-20 05:02:05,63.05,179.3167,9.19,75,18,2.46
163,Linxia,CN,2022-03-20 05:02:06,35.6003,103.2064,53.26,33,73,6.85
164,Jacksonville,US,2022-03-20 04:58:17,30.3322,-81.6556,67.1,90,20,4.61
165,Tessaoua,NE,2022-03-20 05:02:06,13.7574,7.9874,71.67,6,18,7.4
166,Maryborough,AU,2022-03-20 05:02:06,-25.5333,152.7,78.96,56,52,10.78
167,Mangan,IN,2022-03-20 05:02:07,27.5167,88.5333,75.69,50,92,4.38
168,Havre-Saint-Pierre,CA,2022-03-20 05:02:07,50.2334,-63.5986,21.94,85,100,10.22
169,Jasper,US,2022-03-20 05:00:34,37.2001,-94.3502,49.55,59,0,1.01
170,Centralia,US,2022-03-20 05:02:08,46.7162,-122.9543,41.45,72,75,0.0
171,Mundra,IN,2022-03-20 05:02:08,22.85,69.7333,84.79,48,0,13.33
172,Kavieng,PG,2022-03-20 05:02:08,-2.5744,150.7967,85.89,67,58,10.49
173,Yellowknife,CA,2022-03-20 04:57:59,62.456,-114.3525,18.12,100,100,6.91
174,Yibin,CN,2022-03-20 05:00:35,28.7667,104.6238,69.91,74,100,11.77
175,Fukue,JP,2022-03-20 05:02:09,32.6881,128.8419,51.82,60,65,11.07
176,Pilar,BR,2022-03-20 05:02:09,-9.5972,-35.9567,73.31,89,55,1.25
177,Gazanjyk,TM,2022-03-20 05:02:10,39.2446,55.5154,43.79,41,100,17.63
178,Rampur,IN,2022-03-20 05:02:10,28.8167,79.0333,93.7,18,1,3.98
179,Kununurra,AU,2022-03-20 05:02:10,-15.7667,128.7333,96.78,52,96,5.75
180,Moranbah,AU,2022-03-20 05:02:11,-22.0016,148.0466,88.18,25,13,14.63
181,Urusha,RU,2022-03-20 05:03:11,54.05,122.9,18.0,54,14,4.03
182,Batagay,RU,2022-03-20 05:03:11,67.6333,134.6333,11.28,69,11,8.46
183,Acapulco,MX,2022-03-20 05:03:12,16.8634,-99.8901,75.7,68,11,2.71
184,Longyearbyen,SJ,2022-03-20 05:01:30,78.2186,15.6401,22.84,74,75,11.5
185,Labytnangi,RU,2022-03-20 05:03:12,66.6572,66.4183,22.08,91,83,6.71
186,San Cristobal,VE,2022-03-20 05:03:12,7.7669,-72.225,66.52,84,63,1.88
187,Kisangani,CD,2022-03-20 05:02:11,0.5167,25.2,70.3,96,100,1.68
188,Ketchikan,US,2022-03-20 05:03:13,55.3422,-131.6461,31.98,89,80,4.23
189,Hasaki,JP,2022-03-20 05:03:13,35.7333,140.8333,57.6,57,99,7.49
190,Kaitangata,NZ,2022-03-20 05:02:25,-46.2817,169.8464,61.14,72,57,11.03
191,Sao Filipe,CV,2022-03-20 05:03:14,14.8961,-24.4956,69.28,70,9,14.07
192,San Felipe,VE,2022-03-20 05:03:14,10.3399,-68.7425,71.82,94,98,5.77
193,Valle Hermoso,MX,2022-03-20 05:03:15,25.6667,-97.8333,60.66,63,0,6.42
194,Dakar,SN,2022-03-20 05:03:15,14.6937,-17.4441,63.48,84,6,18.1
195,Coihueco,CL,2022-03-20 05:03:15,-36.6167,-71.8333,59.97,23,99,2.73
196,Charters Towers,AU,2022-03-20 05:03:16,-20.1,146.2667,91.13,30,67,9.89
197,Magalia,US,2022-03-20 05:03:16,39.8121,-121.5783,46.15,93,91,4.61
198,Kloulklubed,PW,2022-03-20 05:03:16,7.0419,134.2556,84.7,77,75,16.08
199,Souillac,MU,2022-03-20 05:01:24,-20.5167,57.5167,84.58,79,40,0.0
200,Arraial Do Cabo,BR,2022-03-20 05:03:17,-22.9661,-42.0278,75.65,90,25,14.05
201,Kuching,MY,2022-03-20 05:00:36,1.55,110.3333,88.02,66,40,3.44
202,Villamar,MX,2022-03-20 05:03:17,20.0167,-102.6,59.88,29,39,4.72
203,Maketu,NZ,2022-03-20 05:03:18,-37.7667,176.45,67.75,64,100,14.0
204,Lata,PT,2022-03-20 05:03:18,40.1629,-8.3327,59.07,64,100,7.61
205,San Pedro,PH,2022-03-20 05:03:18,14.35,121.0167,91.35,58,92,12.08
206,Kijang,KR,2022-03-20 05:03:19,35.2442,129.2139,47.79,62,98,9.24
207,Alugan,PH,2022-03-20 05:03:19,12.2188,125.4808,81.7,86,100,10.36
208,Maragogi,BR,2022-03-20 05:03:19,-9.0122,-35.2225,77.4,83,10,4.25
209,Cidreira,BR,2022-03-20 05:03:20,-30.1811,-50.2056,65.73,84,44,8.01
210,Manjakandriana,MG,2022-03-20 05:03:20,-18.9167,47.8,64.09,97,100,3.51
211,Tyup,KG,2022-03-20 05:03:21,42.7276,78.3648,34.0,67,100,5.75
212,Nouadhibou,MR,2022-03-20 05:03:21,20.931,-17.0347,60.67,87,0,23.06
213,Rocha,UY,2022-03-20 05:01:09,-34.4833,-54.3333,54.64,73,58,3.78
214,Necochea,AR,2022-03-20 05:03:21,-38.5473,-58.7368,48.72,67,51,8.41
215,Cherkasskoye,RU,2022-03-20 05:03:22,52.4333,47.2167,25.72,93,98,4.45
216,Omboue,GA,2022-03-20 05:03:22,-1.5746,9.2618,77.2,89,86,6.2
217,Bandarbeyla,SO,2022-03-20 05:03:22,9.4942,50.8122,79.29,64,6,8.48
218,La Palma,US,2022-03-20 05:03:23,33.8464,-118.0467,60.82,83,100,6.91
219,Nemuro,JP,2022-03-20 05:03:23,43.3236,145.575,30.74,77,81,22.41
220,Axim,GH,2022-03-20 05:03:24,4.8699,-2.2405,79.03,89,97,5.97
221,Yakeshi,CN,2022-03-20 05:03:24,49.2833,120.7333,17.11,78,100,5.3
222,Aklavik,CA,2022-03-20 05:03:25,68.2191,-135.0107,-14.39,95,100,4.76
223,Sandwick,GB,2022-03-20 05:03:25,60.0,-1.25,44.42,76,24,20.71
224,Katherine,AU,2022-03-20 05:03:25,-14.4667,132.2667,102.52,22,17,13.8
225,Saldanha,ZA,2022-03-20 05:03:26,-33.0117,17.9442,65.59,88,26,8.14
226,Terra Santa,BR,2022-03-20 05:03:26,-2.1042,-56.4869,73.18,97,88,2.24
227,Jalu,LY,2022-03-20 05:04:26,29.0331,21.5482,51.49,53,65,25.08
228,Zhezkazgan,KZ,2022-03-20 05:04:27,47.8043,67.7144,13.98,79,20,6.71
229,Barrow,US,2022-03-20 05:04:28,71.2906,-156.7887,-16.58,83,0,9.22
230,Acarau,BR,2022-03-20 05:04:28,-2.8856,-40.12,77.11,83,41,4.81
231,Asau,RO,2022-03-20 05:04:28,46.4333,26.4,23.95,75,2,4.41
232,Kavaratti,IN,2022-03-20 05:04:29,10.5669,72.642,83.3,65,74,11.68
233,Ban Nahin,LA,2022-03-20 05:04:29,18.2418,104.2122,97.27,32,14,5.55
234,Meulaboh,ID,2022-03-20 05:04:29,4.1363,96.1285,75.07,93,100,3.06
235,Sitka,US,2022-03-20 05:01:37,57.0531,-135.33,35.22,87,93,7.85
236,Soe,ID,2022-03-20 05:04:30,-9.8607,124.284,82.26,56,94,4.38
237,Santa Isabel Do Rio Negro,BR,2022-03-20 05:04:30,-0.4139,-65.0192,72.97,99,100,2.53
238,Salinas,US,2022-03-20 05:01:21,36.6777,-121.6555,53.69,78,100,12.66
239,Ayolas,PY,2022-03-20 05:04:31,-27.4,-56.9,57.61,56,0,7.67
240,Male,MV,2022-03-20 05:04:31,4.1748,73.5089,82.87,72,50,16.55
241,San Miguel,SV,2022-03-20 05:00:50,13.4833,-88.1833,79.83,79,98,1.43
242,Bethel,US,2022-03-20 05:04:32,41.3712,-73.414,56.01,92,40,0.0
