City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
136,Pevek,RU,2022-04-13 03:58:45,69.7008,170.3133,3.06,76,100,2.08
137,Nouakchott,MR,2022-04-13 03:58:45,18.0858,-15.9785,66.13,82,100,15.68
138,Kavieng,PG,2022-04-13 03:58:46,-2.5744,150.7967,83.91,74,22,10.54
139,Nantucket,US,2022-04-13 03:57:41,41.2835,-70.0995,49.14,86,33,9.22
140,Iqaluit,CA,2022-04-13 03:59:46,63.7506,-68.5145,11.93,79,100,21.85
141,Tiksi,RU,2022-04-13 03:59:47,71.6872,128.8694,-1.01,91,99,3.31
142,George,ZA,2022-04-13 03:59:47,-33.963,22.4617,58.55,94,100,4.61
143,La Ronge,CA,2022-04-13 03:59:47,55.1001,-105.2842,17.85,57,100,13.8
144,Divnomorskoye,RU,2022-04-13 03:59:48,44.5011,38.1353,46.29,76,100,14.99
145,Opuwo,NA,2022-04-13 03:59:48,-18.0607,13.84,64.27,77,78,3.89
146,Provideniya,RU,2022-04-13 03:59:49,64.3833,-173.3,24.91,80,100,25.01
147,Itoman,JP,2022-04-13 03:59:49,26.1247,127.6694,78.82,73,40,13.8
148,Vostok,RU,2022-04-13 03:59:49,46.4856,135.8833,36.09,68,100,7.18
149,Taltal,CL,2022-04-13 03:59:50,-25.4,-70.4833,60.48,81,1,1.79
150,Xianyang,CN,2022-04-13 03:59:50,34.3378,108.7026,63.64,59,20,4.47
151,Gidole,ET,2022-04-13 03:59:51,5.65,37.3667,59.23,70,48,0.54
152,Bayan,CN,2022-04-13 03:59:51,46.0833,127.4,52.18,19,71,2.77
153,Kerema,PG,2022-04-13 03:59:52,-7.9631,145.7785,86.14,71,98,10.36
154,Novobirilyussy,RU,2022-04-13 03:59:52,56.9514,90.6661,33.85,69,74,4.41
155,Longyearbyen,SJ,2022-04-13 03:59:52,78.2186,15.6401,17.44,86,75,3.44
156,Hobyo,SO,2022-04-13 03:59:53,5.3505,48.5268,82.62,70,6,7.47
157,Krasnoselkup,RU,2022-04-13 03:59:53,65.7,82.4667,32.95,100,99,13.31
158,Thompson,CA,2022-04-13 03:59:54,55.7435,-97.8558,24.96,93,100,6.91
159,La Tuque,CA,2022-04-13 03:59:46,47.4334,-72.7824,34.05,69,63,1.14
160,Nampula,MZ,2022-04-13 03:59:54,-15.1165,39.2666,71.55,94,20,2.3
161,Bluefield,US,2022-04-13 03:59:55,37.2698,-81.2223,60.4,91,93,3.31
