City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
316,San Quintin,MX,30.4833,-115.95,57.78,59,0,22.5,clear sky
317,Myitkyina,MM,25.3833,97.4,95.56,31,31,1.74,scattered clouds
318,Kawalu,ID,-7.3817,108.2082,86.31,55,53,4.41,broken clouds
319,Bowen,AU,-20.0167,148.2333,83.64,57,21,19.69,few clouds
320,Claresholm,CA,50.0333,-113.5852,17.67,52,100,12.5,overcast clouds
321,Aklavik,CA,68.2191,-135.0107,20.91,93,79,3.2,broken clouds
322,Hualmay,PE,-11.0964,-77.6139,66.45,87,16,8.37,few clouds
323,Ronne,DK,55.1009,14.7066,42.71,65,20,11.5,few clouds
324,Ntoum,GA,0.3833,9.7833,75.76,94,100,2.1,overcast clouds
325,Ozernovskiy,RU,51.5,156.5167,31.06,82,68,11.16,broken clouds
326,Ho Chi Minh City,VN,10.75,106.6667,91.42,52,75,5.75,broken clouds
327,Shimoda,JP,34.6667,138.95,75.11,81,100,10.27,overcast clouds
328,Mohan,IN,26.7833,80.6833,85.95,24,69,7.61,broken clouds
329,Basoko,CD,1.2391,23.616,74.1,82,47,0.87,scattered clouds
330,Mangrol,IN,21.1167,70.1167,85.39,58,0,10.38,clear sky
331,Bitung,ID,1.4451,125.1824,90.45,72,100,1.57,overcast clouds
332,Saint-Pierre,RE,-21.3393,55.4781,78.91,75,20,20.71,few clouds
333,Sabya,SA,17.1495,42.6254,87.93,43,53,5.01,broken clouds
334,Nishihara,JP,26.1842,127.7558,78.08,73,40,13.8,scattered clouds
335,Riyadh,SA,24.6877,46.7219,77.14,21,87,10.58,overcast clouds
336,Kamaishi,JP,39.2667,141.8833,59.43,73,100,8.63,overcast clouds
337,Ondjiva,AO,-17.0667,15.7333,64.26,87,91,3.69,overcast clouds
338,Lata,PT,40.1629,-8.3327,45.7,98,25,2.1,scattered clouds
339,Poronaysk,RU,49.2167,143.1167,34.93,73,94,6.78,overcast clouds
340,Faya,SA,18.3851,42.4509,63.12,43,54,0.2,broken clouds
341,Bilibino,RU,68.0546,166.4372,18.68,61,100,2.8,overcast clouds
342,Maner,IN,25.65,84.8833,87.71,34,21,6.2,few clouds
343,Teguise,ES,29.0605,-13.564,59.22,77,0,5.75,clear sky
344,Le Mars,US,42.7942,-96.1656,53.44,66,100,25.32,overcast clouds
345,Talnakh,RU,69.4865,88.3972,33.21,99,100,4.74,light snow
346,Bay Roberts,CA,47.5999,-53.2648,36.34,83,100,7.0,overcast clouds
347,Mehamn,NO,71.0357,27.8492,30.15,69,75,6.91,light snow
